31_1	What is throat cancer?
31_2	Is throat cancer treatable?
31_3	Tell me about lung cancer.
31_4	What are the symptoms of lung cancer?
31_5	Can lung cancer spread to the throat?
31_6	What causes throat cancer?
31_7	What is the first sign of throat cancer?
31_8	Is throat cancer the same as esophageal cancer?
31_9	What's the difference in throat cancer and esophageal cancer's symptoms?
32_1	What are the different types of sharks?
32_2	Are sharks endangered and if so, which species?
32_3	Tell me more about tiger sharks.
32_4	What is the largest ever shark to have lived on Earth?
32_5	What's the biggest ever caught shark?
32_6	What about for great whites?
32_7	Tell me about makos.
32_8	What are makos adaptations?
32_9	Where do makos live?
32_10	What do makos eat?
32_11	How do makos compare with tigers for being dangerous?
33_1	Tell me about the Neverending Story film.
33_2	What is the Neverending Story film about?
33_3	How was the Neverending Story film received?
33_4	Did the Neverending Story film win any awards?
33_5	Was the Neverending Story film a book first?
33_6	Who was the author of the Neverending Story film and novel adaptation and when was the film published?
33_7	What are the main themes of the Neverending Story film?
33_8	Who are the main characters in the Neverending Story film?
33_9	What are the differences between the book and movies of Neverending Story?
33_10	Did the horse Artax in the Neverending Story film really die?
34_1	Tell me about the Bronze Age collapse.
34_2	What is the evidence for the Bronze Age collapse?
34_3	What are some of the possible causes for the Bronze Age collapse?
34_4	Who were the Sea Peoples responsible for the Bronze Age collapse?
34_5	What was the role of the Sea Peoples in the Bronze Age collapse?
34_6	Besides the Sea Peoples, what other factors led to a breakdown of trade?
34_7	What about environmental factors that led to the Bronze Age collapse?
34_8	What empires survived the Bronze Age collapse?
34_9	What came after the Bronze Age collapse?
35_1	Tell me about the history of toilets.
35_2	Where does the term history of toilets come from?
35_3	Where and when was the term toilets first invented?
35_4	Why do the Brits call a loo?
35_5	What came before the Brits when they invented the term loo?
35_6	When did indoor versions of toilets become common?
35_7	How many types of toilets are there?
35_8	Why are toilets so important for society?
35_9	What is the role of toilets in film?
36_1	What is the US Electoral College?
36_2	How does the US Electoral College work?
36_3	Tell me about the creation of the US Electoral College.
36_4	Why was the US Electoral College chosen?
36_5	How has the US Electoral College changed over time?
36_6	What if the electors don't vote for the pledged candidate in the US Electoral College?
36_7	How has the US Electoral College changed election outcomes?
36_8	Who are the Hamilton Electors and what were the US Electoral College trying to do?
36_9	How would the US Electoral College be abolished?
36_10	How does the National Popular Vote Interstate Compact work?
36_11	Is the National Popular Vote Interstate Compact legal?
37_1	What was the Stanford Experiment in prison psychology studies?
37_2	What did the Stanford Experiment show?
37_3	Tell me about the author of the Stanford Experiment.
37_4	Was the Stanford Experiment ethical?
37_5	Besides the Stanford Experiment, what are other similar experiments?
37_6	What happened in the Milgram experiment?
37_7	Why was the Milgram experiment important?
37_8	What were the similarities and differences between the Milgram experiment and the Stanford Experiment?
37_9	What about the BBC experiment in prison psychology?
37_10	What are the key findings from the Milgram experiment?
37_11	How did the results of the Milgram experiment differ?
37_12	Why was the Milgram experiment ended?
38_1	What is Lyme disease?
38_2	How do you get Lyme Disease?
38_3	How does Lyme disease make you feel?
38_4	What happens if Lyme disease goes untreated?
38_5	Can Lyme disease kill you?
38_6	How reliable is the test for Lyme disease?
38_7	Can Lyme disease be cured?
38_8	What is Chronic Lyme?
39_1	What does it mean to be a vegan?
39_2	What is the environmental argument for veganism?
39_3	Do you need milk for strong bones?
39_4	What are other good sources of calcium other than milk for strong bones?
39_5	If you don't eat any meat, at all, is veganism bad for you?
39_6	What are good sources of vitamin B12 in regards to veganism?
39_7	Does vitamin B12 help you lose weight?
39_8	What about vitamin B12's health effects versus being vegetarian?
39_9	How does the environmental impact compare between veganism and being vegetarian?
40_1	What are the origins of popular music?
40_2	What are the characteristics of popular music?
40_3	What technological developments enabled popular music to develop?
40_4	When and why did people start taking pop seriously?
40_5	How has pop been integrated into music education?
40_6	Describe some of the influential pop bands.
40_7	What makes a song pop punk?
40_8	What is the difference between pop punk and emo?
40_9	How did Britpop change music?
40_10	What are Britpop's roots and what influenced music?
41_1	Why is the drinking age in the US 21 and not 18?
41_2	What were the pros and cons of drinking alcohol in the US?
41_3	Tell me about the negative health effects of drinking.
41_4	How does binge drinking affect development?
41_5	Can binge drinking damage mental health?
41_6	What are the short and long-term effects of binge drinking on brain chemicals?
41_7	Are alcoholics generally depressed?
41_8	What are the effects of binge drinking on vitamins and minerals?
41_9	Are there any benefits from binge drinking?
42_1	What is Chattanooga famous for?
42_2	What is there to do in downtown Chattanooga?
42_3	Are there tourism activities related to trucks or trains in downtown Chattanooga?
42_4	Are there any tourism activities related to Bessie Smith in Chattanooga?
42_5	Can I visit some nearby distilleries in Chattanooga?
42_6	What is Rock City, and why is Chattanooga famous for?
42_7	Are special events held at Rock City?
42_8	What kind of food is Chattanooga known for?
43_1	What are some interesting things around Ann Arbor?
43_2	Tell me about when the city of Ann Arbor was founded.
43_3	How does Ann Arbor relate to the establishment of the University?
43_4	Does the Museum of Art have any special collections?
43_5	What is the South Pond Nature Area in Ann Arbor?
43_6	Are there any film festivals in Ann Arbor?
43_7	How about for jazz in Ann Arbor?
43_8	What are popular bars or clubs where I can listen to jazz in Ann Arbor?
44_1	What causes acidic reflux in the morning?
44_2	Does acid reflux have long term side effects?
44_3	What is the best OTC for acid reflux?
44_4	What are the side effects of long term PPI use for acid reflux?
44_5	Tell me about natural treatments for acid reflux.
44_6	What foods cause acid reflux in the morning?
44_7	What foods reduce acid reflux?
44_8	How does exercise affect acid reflux?
45_1	What dog breed is the best for playing?
45_2	What kind of dog should I get if I’m allergic?
45_3	How about big and active dogs?
45_4	Do big dogs live longer than small dogs?
45_5	Will I need to put a lot of time into training a dog?
45_6	Tell me about some breeds that are independent and can be left home all day.
45_7	How much does a Irish Wolfhound weigh?
45_8	How much do Irish wolfhounds cost?
46_1	Why is learning a second language difficult?
46_2	At what age is learning a second language harder and why?
46_3	If I already know English, which language would be the easiest to learn?
46_4	How can I begin learning Norwegian?
46_5	Is learning Norwegian easier to learn than Spanish?
46_6	What other languages are closest to learning a second language besides English and Norwegian?
46_7	Describe some of the similarities between Norwegian and Danish.
46_8	How did all the languages evolve?
46_9	How is Norwegian related to Old Norse?
46_10	Are there advantages of knowing multiple languages?
47_1	Why is Boise called the city of trees?
47_2	How did Boise tourism get its name?
47_3	What is there to do in the summer in Boise?
47_4	What are popular hiking trails in Boise?
47_5	Tell me about the Oregon Trail Reserve in Boise.
47_6	Tell me about the history of the Boise Greenbelt.
47_7	What is the controversy around the Boise Greenbelt?
48_1	What is the main function of a virtual machine?
48_2	What are the advantages of a virtual machine?
48_3	Describe some of the disadvantages of a virtual machine.
48_4	How do virtual machines and containers work?
48_5	What are the main types of VMs?
48_6	What is the role of virtual machines and containers in cloud computing?
48_7	How is a container different from a virtual machine?
48_8	What is the advantage of Docker?
48_9	How is Docker related Kurbenetes?
49_1	How was Netflix started?
49_2	How did Netflix originally work?
49_3	What is Netflix's relationship with Blockbuster?
49_4	When did Netflix shift from DVDs to a streaming service?
49_5	Besides Blockbuster, what are Netflix's other competitors?
49_6	How does Netflix compare to Amazon Prime Video?
49_7	Describe Netflix’s subscriber growth over time.
49_8	How has Netflix changed the way TV is watched?
49_9	How has Netflix impacted society?
49_10	How has Netflix impacted society?
50_1	What was the first artificial satellite?
50_2	What are the types of orbits of the first artificial satellite?
50_3	What are the important classes of satellites?
50_4	How do navigation systems work?
50_5	What is the Galileo system and why is it important?
50_6	Why did Galileo system create tension with the US?
50_7	What are Cubesats?
50_8	What are the advantages of Cubesats?
50_9	What are Cubesats used for?
50_10	What is the future of Cubesats?
51_1	How do I save for a child’s college education in the US?
51_2	What is a 529 plan?
51_3	How does a 529 plan work?
51_4	What are the main advantages of a child college education savings plan?
51_5	What are the disadvantages of a child college education savings plan?
51_6	How long have 529 plans been around?
51_7	What are the types of child college education savings plans?
51_8	What can the funds from a 529 plan be used for?
51_9	What happens if a child’s 529 plan is not used?
51_10	How does an ESA compare to a 529 plan?
52_1	Describe the Afra tanker scale.
52_2	Why was the Afra tanker scale developed?
52_3	What are supertankers?
52_4	Describe the Afra tanker scale supertankers invention.
52_5	What are the important factors led to the development of supertankers?
52_6	What was the role of the Six-Day War in the development of supertankers?
52_7	How many barrels can a VLCC ship carry during the Six-Day War?
52_8	What is the largest supertanker in the world?
52_9	What new problem did increased scale of supertankers create?
52_10	Describe crude oil washing.
53_1	Is Red Bull bad for you?
53_2	Can Red Bull kill you?
53_3	How much Red Bull can you drink in a day?
53_4	What is taurine in relation to energy drinks?
53_5	What are the health effects of taurine?
53_6	In general, what are the effects of consuming energy drinks?
53_7	Why are energy drinks harmful when mixed with alcohol?
53_8	What is the argument for the age restriction of energy drinks to kids?
53_9	Where are energy drinks banned to minors?
54_1	What is worth seeing in Washington D.C.?
54_2	Which Smithsonian museums are the most popular in Washington D.C.?
54_3	Why is the National Air and Space Museum important in Washington D.C.?
54_4	Is the Spy Museum free in Washington D.C.?
54_5	What is there to do in DC after the Smithsonian museums close?
54_6	What is the best time to visit the reflecting pools in Washington D.C.?
54_7	Are there any famous foods in Washington DC?
54_8	What is a DC half smoke?
54_9	Tell me about the history of DC half smoke.
55_1	Describe the oceanic crust.
55_2	What are the main layers of oceanic crust?
55_3	How does the oceanic crust differ from the continental crust?
55_4	Which is younger and why does the oceanic crust differ from the continental crust?
55_5	Where is the youngest oceanic crust found?
55_6	What about the oldest oceanic crust?
55_7	What is seafloor spreading in the oceanic crust?
55_8	What is the significance of the oceanic crust?
55_9	How is ocean crust formed?
55_10	Is ocean crust being recycled?
56_1	What is Darwin’s theory in a nutshell?
56_2	How was Darwin’s theory of evolution developed?
56_3	How do sexual and asexual reproduction affect Darwin’s theory of evolution?
56_4	How can fossils be used to understand Darwin’s theory of evolution?
56_5	What is modern evidence for Darwin’s theory of evolution?
56_6	What is the impact of Darwin’s theory of evolution on modern biology?
56_7	Compare and contrast microevolution and macroevolution in Darwin’s theory of evolution.
56_8	What is Darwin’s theory of evolution's relationship to speciation?
57_1	How can you tell if someone is suffering from depression?
57_2	What are common types of depression?
57_3	What causes depression?
57_4	What is the role of brain chemicals in depression?
57_5	Does a lack of sunlight cause depression?
57_6	How can you treat SAD?
57_7	What is the role of melatonin in treating SAD?
57_8	How are anxiety and depression related?
57_9	What treatments exist for depression?
57_10	What is CBT and how does it work for depression?
58_1	What is a real-time database?
58_2	How does a real-time database differ from traditional ones?
58_3	What are the advantages of real-time processing?
58_4	What are examples of important real-time databases?
58_5	What are important applications of real-time database?
58_6	What are important cloud options for a realtime database?
58_7	Tell me about the Firebase DB.
58_8	How is the Firebase DB used in mobile apps?
59_1	Which weekend sports have the most injuries?
59_2	What are the most common types of injuries from sports?
59_3	What is the ACL in sports?
59_4	What is an injury for the ACL?
59_5	Tell me about the RICE method for physical injuries.
59_6	Is there disagreement about the RICE method?
59_7	What is arnica used for in sports?
59_8	What are some ways to avoid injury to the ACL?
60_1	Tell me about the benefits of yoga.
60_2	Does yoga help in reducing stress?
60_3	What are some of the main types of yoga?
60_4	What type of yoga is best for losing weight?
60_5	What are common poses in Bikram yoga?
60_6	Why is mindful breathing important in yoga?
60_7	Does mindful breathing help relieve asthma?
61_1	Who are The Avengers?
61_2	Tell me about The Avengers first appearance.
61_3	Who is the most powerful in the Avengers and Superhero Universes?
61_4	What is the relationship of Spider-Man to the Avengers team?
61_5	Why is Batman not a member of the Avengers team?
61_6	What is an important team in the DC universe?
61_7	Tell me about the origins of the Justice League.
61_8	Who are the important members of the Justice League?
